,magnitude,jumlahinf,kluster
504,4.5,5,1
505,5.2,19,1
506,4.5,0,1
507,4.8,13,1
508,5.1,45,1
509,4.9,24,1
510,4.5,22,1
511,4.5,0,1
512,4.5,5,1
513,5.0,141,0
514,4.5,0,1
515,4.9,0,1
516,4.5,0,1
517,5.1,125,0
518,4.5,85,0
519,4.5,26,1
520,4.5,83,0
521,4.5,41,1
522,4.6,98,0
523,4.6,94,0
524,4.6,0,1
525,4.5,27,1
526,4.6,0,1
527,4.5,1,1
528,4.6,15,1
529,4.7,23,1
530,4.6,22,1
531,4.7,34,1
532,4.6,1,1
533,5.0,40,1
534,4.6,45,1
535,5.1,351,2
536,4.7,3,1
537,4.5,0,1
538,5.1,57,0
539,4.9,0,1
540,4.5,27,1
541,4.5,0,1
542,4.9,46,1
543,5.7,0,1
544,4.5,0,1
545,4.9,2,1
546,4.7,1,1
547,4.5,16,1
548,4.7,14,1
549,4.6,0,1
550,4.6,24,1
551,4.6,41,1
552,4.5,15,1
553,4.5,0,1
554,4.6,0,1
555,4.6,0,1
556,4.6,0,1
557,4.5,0,1
558,4.6,0,1
559,5.2,131,0
560,4.8,0,1
561,4.6,11,1
562,4.6,16,1
563,5.9,243,2
564,5.2,133,0
565,4.5,0,1
566,4.5,0,1
567,4.7,5,1
568,4.7,6,1
569,4.8,44,1
570,4.5,0,1
571,4.5,11,1
572,5.0,127,0
573,4.6,7,1
574,5.0,30,1
575,4.5,1,1
576,4.5,1,1
577,4.7,78,0
578,4.9,48,1
579,5.6,178,0
580,5.1,106,0
581,4.5,23,1
582,4.9,0,1
583,4.5,12,1
584,4.5,0,1
585,4.5,0,1
586,4.5,1,1
587,4.5,1,1
588,4.5,2,1
589,4.5,13,1
590,4.8,8,1
591,5.3,155,0
592,5.1,6,1
593,4.6,10,1
594,4.5,0,1
595,5.2,20,1
596,4.6,1,1
597,4.6,2,1
598,4.5,1,1
599,4.6,1,1
600,5.3,29,1
601,4.8,3,1
602,4.6,140,0
603,4.5,1,1
604,4.7,2,1
605,4.5,15,1
606,5.0,3,1
607,4.9,2,1
608,4.8,2,1
609,5.3,24,1
610,4.6,1,1
611,4.6,1,1
612,4.7,0,1
